Text,Actual,Predicted
Prabowo tuh tetap bakal sebagai strongman! Adorable Granpa tuh terpaksa dia lakukan demi memburu kekuasaan. Maka naif kalau Jokowi sangat percaya bisa memegang dia terlebih Jokowi tak lagi sbg presiden. Selengkapnya saya tulis di @IndoAtMelb https://t.co/ihAizySCRM,positive,positive
 Siapa yang mau masuk kabinet siapa yang mau menjadi menteri saya harus setuju anak-anak harus diberi makan siang kata Prabowo. https://t.co/yOqBJkYNZs,positive,positive
Mantan Menteri Kesehatan (Menkes) Terawan Agus Putranto hadir perdana di barisan pendukung Prabowo-Gibran pada Minggu (4/2) kemarin. Mungkinkah Prabowo gandeng Terawan untuk lawan dominasi Ikatan Dokter Indonesia (IDI)? https://t.co/dvoeWp20if,positive,positive
Memang beda kelas ya antara Anies-Imin Prabowo-Gibran &amp; Ganjar-Mahfud... Bagi kita yg masih waras akal sehat &amp; hati nuraninye pasti dukung Ganjar-Mahfud. Apalagi penampilan Ganjar dalam #DebatCapres tadi malam maksimal bats! @jumianto_RK @catatankaqihaty @ch_chotimah2 @kesittt https://t.co/ZMTbVFwfcS,positive,positive
Anies: Oposisi itu penting dan sama-sama terhormat. Sayangnya tidak semua tahan untuk menjadi oposisi. Seperti pak Prabowo pak Prabowo tidak tahan untuk menjadi opisisi. Beliau sendiri menyampaikan bahwa tidak berada di kekuasaan membuat tidak bisa berbisnis.,positive,positive
@tempodotco Sellu dukung pak anis,positive,positive
Calon presiden nomor urut satu Anies Baswedan menanggapi pernyataan calon presiden nomor urut dua Prabowo Subianto yang menyebut 'ndasmu etik'. Anies justru sepakat bahwa etika dimulai dari kepala. Download #MetroTVXtend sekarang di Play Store dan App Store. #aniesbaswedan https://t.co/cDmuQ2ZXym,positive,positive
BuzzerRp knp pd goblog sdh bbrp x Anies jelaskan komitmennya tdk bersaing dg prabowo adlh untuk pilpres 2019 pls,positive,positive
Ganjar Pranowo menyoroti makna salam metal sebagai simbol dari 'revolusi cinta'. Menurutnya salam metal mencerminkan semangat 'menang total' dan didorong oleh pengalaman belajar dari teman-teman kelompok tuli yang menyatakan cinta dengan bahasa isyarat. Ganjar dan Mahfud MD https://t.co/DLv5UWtj4u,positive,positive
@FahreziBadrun @Heraloebss EleH BACOT!!!. dulur gibran direbutin sekarang diributin kwowkwowkwow,negative,negative
Jejak digital yg tak di akui prabowo @ganjarpranowo @mohmahfudmd Bilang orang Yang memilih Internet Gratis otak nya agak lambat dia Tidak Paham Bahwa Ganjar Mahfud juga mengedepankan program kesejahteraan masyarakat #YakinPilihGanjar #GanjarPresiden #GanjarMahfud2024 https://t.co/ahx0khFdJK,positive,positive
lebih 500 warga desa baru ikut kampanyekan prabowo gibran gerakan senam sehat gemoy - Riau Televisi https://t.co/Hihrswj7wA #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan,positive,positive
@KimYunkiMinALT Oh nggak makasih kalo yg itu agak ngeri,negative,negative
@_mardial_ Wkwk baru ngeh muka Gibran mirip yg di film ATM https://t.co/jPQYmjfj2T,positive,positive
@OposisiCerdas Cari video penyataa @prabowo di masjid Sunda Kelapa bhw anies berjanji akan menuntaskan jd gubernur sampai selesai n tdk akan tergoda dg pencalonan sbg presiden. Faktanya kyai ini yg keliling ke banyak pesantren dan menawarkan uang milyaran Rp agar kyai2 tdk mendukung anies?,positive,positive
mimpi gi tokyo japan ,positive,positive
Indonesia membutuhkan kepemimpinan seperti Ganjar-Mahfud. @pwrakjiee GanjarPranowo Presiden2024 https://t.co/8fw56fcSc7,negative,negative
@Reiza_Patters Poin saya dengan kampanye yg benar Anies masih sangat terbuka peluangnya ke putaran ke-2. Tapi kalau syahwat jempol yg berkuasa nanti mimpi itu jadi sirna. Ngga kasihan ama pak Anies?,positive,positive
Gibran bilang jumlah anak anak 400 juta. Penduduk Indonesia 270 juta. Kok bisa...? https://t.co/TqWSKahteI,negative,negative
Hal yang dilakukan oleh Jokowi sama seperti pak Anies saat ini karena ini soal demokrasi soal bernegara.sayang anda bukan siapa siapa maka dari anda akan melakukan itu mengibaratkan anda adalah kacung dan Prabowo adalah majikannya.,negative,negative
Saya sebagai sosok media sosial dengan demografi perempuan usia 44 tahun yang menyukai Tom Yum ingin mengajak para pemuda untuk mengajukan pertanyaan tajam kepada Calon Wakil Presiden RI Muhaimin Iskandar (Cak Imin) dalam acara Slepet Imin. Kepada para,positive,positive
Tenang suaranya masih jauh lebih merdu istriku https://t.co/G6lIGuTtLN,positive,positive
Dari tadi setuju terus Setujuu setujuu sangaat bagus Sekalian aja bilang kalau gitu saya juga pilih bapak Anis aja lah ,positive,positive
@ganjarpranowo Mari bersama-sama pak Ganjar-Mahfud membangun Indonesia agar lebih baik lagi,positive,positive
Semoga bisa dipahami ya pak @jokowi @DPR_RI mas @gibran_tweet pak @prabowo Cc : pak @tomlembong Harga Nikel Makin Rontok Bank Dunia Minta RI Tahan Produksi - Energi https://t.co/HYgTHKy4OI,positive,positive
Banyuwangi nih gaes... #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/HXgrsKz7pg,neutral,neutral
@JJhonpres Apa saja yang penting 03 Ganjar Mahfud paling benar paling Yahud!!,positive,positive
Kampanye Akbar Diguyur Hujan Prabowo-Gibran Terharu Lihat Antusiasme Warga Bandung di GBLA https://t.co/ZqVyrRECHm #Pemilu,positive,positive
Kecewa Relawan Prabowo Solo Raya Deklarasikan Hijrah Dukungan ke Anies-Muhaimin https://t.co/UwFT0rwx7e #TempoNasional,negative,negative
@tinysunflow Bu ferry istrinya pak anies jg dulu tidak tuli lalu saat hamil pertama sampai hamil anak terakhir pendengarannya terus berkurang. Ini jg bisa terjadi pada kita.,negative,negative
baru kelar nonton debat capres terpantau pak prabowo banjir keringet sampe ngeluarin tisu brodol dari saku pak ganjar terlalu banyak senyum corporate pak anies kata gue teh pelan kalo ngomong oposisi,positive,positive
 kenapa kamu belom makan? iya nunggu di-gofood-in Prabowo ,neutral,negative
@JPenerangan @anwaribrahim @fahmi_fadzil Silau Mata batin ku menyaksikan hujan dosa menikam diumbut kota ooooo sudah sudah lah minta puji tu Rakyat semakin samsara ,positive,positive
Solo....Solo...Solo...bukan Gibran. Gaspolll Solo menangkan Ganjar. #GanjarMahfud2024 https://t.co/x7ToHtSBXv,positive,positive
Jujur emang lebih seru debat anis lawan ahok jaman dulu tp at least keliatan calon mana yg kalo memimpin negara bakal emosian ,positive,positive
Joss cuy waktunya serunya campaign ter asik gak boleh kelupaan keseruannya PAKBowoGBRan PilihanPASTI hadir deh ke GBK! @prabowo @prabowogibran02 #10FebKITABiruinGBK YukSIAPIN KAOSGemoynya https://t.co/xkXiGQATLy,positive,positive
Anis mampu menjawab pertanyaan dengan jelas dan lugas. Pilih AMIN untuk Perubahan Indonesia lebih baik. #AMINajaDulu #AMINpalingserius,positive,positive
Ya Allah pagi pagi ku kira apa ribut2 na cerita orang diluar rumahku seruu sekali ternyata tak lain dan tak bukan tentang Prabowo sama anies,positive,positive
Anies capres pemecah belah https://t.co/gCqBXuuKMc,negative,negative
Prabowo: Saya gak nyari jabatan Mas Anies... Faktanya: https://t.co/YNih3cQl9D,negative,negative
Anies Sampaikan Visi Misi di Langsa Provins Aceh https://t.co/AflHvtkBHa,positive,positive
@Melihat_Indo ganjar adakah sosok pemimpin yang tau batasan dalam memperlakukan rakyat,neutral,negative
Wkakakaka kayak film Tilik ,negative,negative
Anies Baswedan Masih Belum Berniat Sambangi IKN hingga Saat Ini Kata Syaugi Alaydrus https://t.co/2RUmtk1ztM,positive,positive
Debat Pilpres pertama: - Anies membanggakan kinerjanya di DKI Jakarta - Ganjar membanggakan kinerjanya di Jawa Tengah - Prabowo membanggakan kinerjanya Jokowi https://t.co/a4ud2sZp6S,positive,positive
@liputan6dotcom Sya cuma yakin sama pak anis saja,positive,positive
Ketika FAKTA dilapangan tidak bisa BERBOHONG Perbedaan yang sangat KONTRAS dan MEMALUKAN kampanye Ganjar vs Prabowo Padahal survey 02 selalu diatas 50% dan ngaku2 1 putaran sudah dibantu KEPARAT juga perangkat desa Sangat yakin jika Ganjar akan MENANG TELAK https://t.co/tmXanyY4YW,positive,positive
Capres nomor urut 1 Anies sebut bertanggung jawab dan minta maaf pada awak media karena alami kendala saat meliput kampanye akbar di JIS https://t.co/gCpPQBcGYF,positive,positive
Menteri Menteri Investasi/Kepala Badan Koordinasi Penanaman Modal (BKPM) Bahlil Lahadalia memanggil perwakilan kepala desa dari Sragen Jawa Tengah untuk menemuinya. Dalam pertemuan Bahlil yang terlibat aktif mendukung prabowo gibran &gt;&gt;&gt;&gt;&gt; https://t.co/VzZ2eSFVju,positive,positive
Savage Ganjar Ketika Prabobro mau BERBOHONG soal ucapannya bahwa yg memilih Internternet Gratis itu Bodoh Tapi DITAMPOL oleh Ganjar karena jejak digital tidak bisa hilang #GanjarMahfud2024 #GanjarMahfudM3nangDebat https://t.co/zgQQcl4iQx,positive,positive
Anies Sebut Pembangunan Manusia di Jawa Timpang Dibanding Daerah Lain https://t.co/1fL2kUSV7Q,positive,positive
Panggung Kampanye Prabowo diambil alih emak-emak yang tidak trima karena belum dapat jatah. Panitia kabur duluan. Pengisi hiburan bingung dituntut emak-emak. https://t.co/SE1RTWrovt,positive,positive
Siapa yg lebih bisa dipercaya melanjutkan program-program Jokowi? Ganjar atau Prabowo? https://t.co/O9iwL5LAzK,positive,positive
gue gak ngerti banget sama cak imin dah.... bisabisanyeeee kenapasih ,neutral,neutral
Begini pengakuan relawan Prabowo yang mendadak diajak makan Ganjar usai bentang baliho https://t.co/IrIQFgHplj,positive,positive
Memberikan pilihan saat di TPS itu terserah masyarakat rata-rata dukung BARENGMas B0W0GBran agar menciptakan nusantara jadi sejahtera. @prabowo @prabowogibran02 #KamuKITA02BIRUinGbk SABTUBIru PESTARAkyat https://t.co/9ihmRn00Th,positive,positive
Bela Prabowo Budiman Sudjatmiko Ungkit Anies Saat Kuliah Tak Pernah Oposisi Anies menyebut Prabowo tak tahan jadi oposisi. Budiman Sudjatmiko membalas Anies sendiri tak pernah jadi oposisi tapi menilai moral orang lain. &gt;&gt; https://t.co/eIzlD6CuVn #detikPemilu #WaktunyaMilih,positive,positive
@gibran_tweet aaa mas gibrann aku gabisa masuk kepenuhann,negative,negative
Kecewa mendalam melanda rakyat karena janji-janji yang tak pernah ditepati Anis. #KingOfRetorika PemantikKonflik Demokrasi https://t.co/ArpmMvonDb,negative,negative
 Fakta hari ini: - anton bilang nama lightstick ini wortel stick - anton lebih berisik waktu dia lagi tidur dibandingkan waktu dia bangun/aktivitas (suaranya kaya bisik2) https://t.co/lwAhrVrI8M,positive,positive
Pesan bagi semua yang ingin hadir di JIS. Sampai bertemu di JIS Sabtu 10 Februari 2024! #AMINAjaDulu #KumpulAkbar #Ber1BeraniBerubah https://t.co/FoLoQvITjV,positive,positive
BEM SI 'Tantang' Gibran Rakabuming Debat di Depan Kantornya https://t.co/5IdEoMRtNl,negative,negative
@Dahnilanzar Anies nunjukin ada pendukung prabowo yg belum dapat keadilan tapi loe dahnil .... Tutup mata Tutup telinga Tutuhp hati Harta bisa di cari nyawa belinya di mana@Dahnilanzar,positive,positive
Anies Janji Buat Hotline Pengacara Gratis Demi Penegakan Hukum https://t.co/kfVHXgSMYw,neutral,negative
Tetiba teringin cendol,negative,negative
@Kacaback678910 Anis dan tim kehabisan pelor buat nyerang pak Prabowo akhirnya buat retorika utk menarik perhatian publik Anis.. Aniiis.. ternyata pak Anis orang tega'an y... bawa2 mayat anak orang ke acara debat! gawat nich kalo presiden model kyk gini memalukan! ,negative,negative
Ibadah Umrah Cak Imin Ajak WNI di Arab Saudi Pilih Amin https://t.co/4tbTApljNs,positive,positive
Nak ada la satu camera kodak film haha,positive,positive
@pakaipeci @ajengcute16__ @Kimberley_2024 Maksd nya Aku dipakai dulu baru digrebek seperti apa ya mas?? @pakaipeci_ke2,negative,negative
MOTM malem ini gue suka ngomongnya anies sih wkwkwk enak rapih. Tapi gue nungguin banget nanti bagian cak imin yg ngomong sih WKWKWKWK,positive,positive
Anak Ungkap Strategi Mahfud saat Debat Cawapres Lawan Cak Imin dan Gibran https://t.co/Tm2KODNiHE,positive,positive
Cawapres anak muda hasil Pelanggaran berat etika di MK ternyata tak punya etika pada saat Debat Capres. @BANGSAygSUJUD @alextham878 @xquitavee masih bangga? Pengamat: Debat Capres Bukan Pertandingan Bola Klik untuk baca: https://t.co/yP18gokTUf,positive,positive
Pak Ganjar ke asiang Gibran ke Aming. Cak Imin ke mana ni wkwkwk,positive,positive
Anies: Ordal Jadikan Orang Tak Berprestasi dapat Posisi https://t.co/QUDkASmvCR https://t.co/QUDkASmvCR,neutral,neutral
@akbarfaizal68 @jokowi @prabowo @gibran_tweet @luhut_binsar @bahlillahadalia jelas² JK pemain pengusaha awal² juga dia menyerang JKW dan dirangkul .. apakah setelah itu JKW menyerang JK ? tidak.. jadi seharusnya om @akbarfaizal68 tau siapa sesungguhnya yang bermain 4 kaki...,negative,negative
Ganjar sudah siap dengan pertanyaan itu. Dia sudah pernah buka juga itu di sebuah podcast soal status Wadas yg adalah PSN. Selama ini krn Ganjar masih sekubu Jokowi mungkin dia sungkan seret Jokowi. Kalau ini sudah siap doi.,positive,positive
Ganjar - Mahfud menyatakan siap menekan DPR agar segera mengesahkan UU perampasan aset para koruptor. Ganjar - Mahfud ingin pemiskinan koruptor segera diberlakukan sebagai upaya pemberantasan korupsi. Kasus korupsi bukan alat untuk menyandera lawan politik!! #GanjarMahfud2024 https://t.co/nx1OKofoet,negative,negative
8000 Anak Asuh Pak Prabowo di Papua #PrabowoPerduliAnak PAKBowoGBRan PilihanPASTI Prabowo ternyata punya 8000 anak asuh di Papua. Anak2 ini diasuh dan dirawat oleh kader Gerindra Diana Widiastuti. Tentu semua tubuh kembang anak2 ini diperhatikan dari gizi makanan serta https://t.co/vfpTFrdOaN,positive,positive
Anis anying wkwkwkwk,neutral,neutral
Buat pendukung anis dan imin https://t.co/cJWOGOQGpw,positive,positive
@ArieKuntung @DrhRukmana Pemimpin yg track record bersih cerdas berwibawa adil &amp; welas asih! Ya ANIES LAH!,positive,positive
@AdiPrab10410697 @ranggapapa @anandabadudu Yg ngedongeng ga ada isi itu 02 ga sih? Jawabannya normatif semua ga ada persiapan matang. Coba cek di narasi rekap fact checkingnya itu kebanyakan anies yg di sorot krna belio yg banyak ngomong pake data,positive,positive
AMIN gue suka gaya lo Anies Baswedan &amp; Cak Imin WAKANDA NO MORE INDONESIA FOREVER. #AMINTerbaikNomor1,positive,positive
@Maruahalsiahaa2 Nah kan mulai politik identitas Siap2 efeknya kofar kafir akan mulai kembali mudah tertulis di sosmed Siapa yg sebenarnya memanfaatkan sara &amp; tdk jaga persatuan indomesia Keluarganya Menikah Sesama Arab Anies Kurang Merepresentasikan Keindonesiaan https://t.co/MOyroyIyIT ,positive,positive
@kompascom Menurut saya... Karena dia mendukung Prabowo-Gibran maka @bawaslu_RI pasti ga ada masalah urusan melanggar aturan itu hanya buat Paslon lain.,positive,positive
Ibu Atikoh.. .. Cabura kita kawan.. Santuyy bersahabat. Coblos no 3 biar terus lihat ibu Atikoh ahhh.. .. #YakinPilihGanjar #GanjarMahfud2024 https://t.co/hOnGyJvdoj,positive,positive
Pak Anies sampai di Jambi hari ini Kamis 14 desember 2023 langsung di sambut masyarakat jambi https://t.co/uxk95vfMME,positive,positive
Setuju... Gibran sebagai anak penerus Jkw,neutral,neutral
sumpah masih nggak ngerti sama cak imin yang sholawatan dilanjutin nyindir???????,positive,positive
Jika Menang Pilpres 2024 Cak Imin Janjikan Tunjangan Guru Ngaji https://t.co/hlDvybJPaP #TempoNasional,positive,positive
Debat Capres... Anis.....Mantan Gubernur... Prabowo...Menhakam Aktif Ganjar.... Gubernur Jateng..Aktif.. Konstitusi bisa berubah....sesuai Kepentingan....Tahu sama Tahu...Kita Bukan Anak anak ...katanya ....,positive,positive
ANAS MAGU PHONE STORE Easy Buy Zaka iya mallakan ko wani irin wayan da kake so a Company na Anas Magu Phone Store ta hayan siya mai sauki wato (Easy Buy) GA BAYANAI AKAN TA YANDA ZAKA BI - Kuna iya tuntuɓar layin kula da abokin cinikinmu don buƙatar ku. - Ajiya na https://t.co/DGFfYAcVh4,negative,negative
Info libur negara tetangga bulan maret wkwkwkwk @anis_880 https://t.co/tgWYuX1i5U,negative,negative
untuk speak2 memang Pak Anies ini wow terstruktur dan pilihan katanya on point terlihat banget akademisnya tapi....#udahgituaja,positive,positive
dengan para penggemarnya yang setia. Jangan lupa datang dan saksikan kehebohan Slepet Imin bersama Cak Imin!,positive,positive
Calon Presiden nomor urut 1 Anies Baswedan berkomitmen untuk kembali mengembalikan kejayaan Aceh seperti beberapa waktu lampau. https://t.co/FuJUscZXXF,positive,positive
Jimin ngasih acungan jempol WE LOVE YOU JIMIN WITH JIMIN TILL THE END #JIMIN #지민 https://t.co/vSMYwCKXrF,positive,positive
Tiba di Blitar menemani Pak @prabowo berkunjung dan ziarah ke makam Bapak Proklamator kita Bung Karno. Mengingatkan kembali kepada kita semua untuk terus mengedepankan persatuan dan melanjutkan perjuangan membangun bangsa. https://t.co/qvEMOdRgt6,positive,positive
Jakarta Anies masih kuat. Tapi JIS 3juta org agak lebe2. Mungkin hanya 100 rbuh orang.,positive,positive
@Nagashima_007 @gibran_tweet @andretaulany74 @newsuleprikitiw Tapi kasihan juga sdh pada tua masih juga miskin dgn menggadaikan hatinya . ,negative,negative
Asiknya sob rakyat saling mengampanyekan program YesB0W0gbRAN MENanG dimana tujuannya untuk kesejahteraan masyarakat dgn cara positif. @prabowo @prabowogibran02 #Kita02BIKINBiruGbk YukMULAI BersiapKeJAKARTA https://t.co/lX30PXin5e,positive,positive
Jika pemerintah dan rakyat bersatu mereka akan segan. Boykot juga IT produk dan jasa dr negara pelindungnya @jokowi @DPR_RI @Kemendag @kemenkeu @prabowo @KemenBUMN @erickthohir https://t.co/qwkUOMHjv6,positive,positive
Bismillah mengusung tema perubahan maka saya mengajak keluarga memilih anis dgn no urut 1 #anisforpresident https://t.co/hWFauOa0qC,positive,positive
Begitu perhatian Pak Anies dengan Rakyat Indonesia bahkan Pak Anies Memberikan PARIS alias Pengacara Gratis Untuk Masyarakat yg Memerlukan Bantuan HUKUM....bentuk kepedulian pak Anies Terhadap Seluruh Rakyat Indonesia https://t.co/oCADp2ZSlA,positive,positive
Wowo Marah² ke Anis.. Anis dimarah² di dpn mata seluruh rakyat Indonesia ,negative,negative
@GaharuBambang @RaniKancana @GanjarLentera @wiwikherma @april68041 @DevyHendrika @Maizura_H @Ema70585236 @mas_ar_ @MandevMavi9731 @newIding30 @RPrima789 @aariejazz @Annas_Cim @Andreasdmk25 @OmpungGuru @TalentaAndilau @RadjaRasta_ @Ganjar_Mahfud03 @DennyDSP77 @dee__1209 @AlfatihDhany Pagi juga mas @GaharuBambang ,positive,positive
Anies dan Cak Imin membayangkan Indonesia yang makmur setiap warganya hidup dalam lingkungan yang bersih bebas polusi dan terlindungi dari bencana ekologis. https://t.co/kPZ4E6NF4M,neutral,neutral
Njiirrr 01 gokilll...... Diluar ekspektasi sih pak anis.. ,neutral,neutral
@2022dipicknava @GibranRakabumi Smg Gibran baca nih tp yg ada jadi malu sama kamu sist. Berarti dia blm siap sist....entah dipaksa atau memaksakan diri.,positive,positive
Berapa hari dah aku dok fikir ni.,positive,positive
siapa nak beli axia 2023 boleh roger aku fast stock! #perodua #axia2023,positive,positive
@aliffwibisono @akbr_mhd @tirta_cipeng Klo ambil pak mahfudz justru suara pak anis semakin kecil menurut sy karena apa cak imin itu simbolik juga pengaruh nya di NU jawa cukup gede ya walaupun beberapa tokoh di NU tidak mendukung cak Imin. Mungkin itu pertimbangannya,negative,negative
Anies-Cak Imin Disebut Teken 13 Poin Ijtima Ulama . Poin ke4 ; Menghormati Posisi Ulama &amp;Tokoh agama serta bersedia mempertimbangkan Para Ulama &amp; Tokoh agama dlm menyelesaikan masalah yg menyangkut kemaslahatan kehidupan bangsa . Ulama HTI /FPI kah? https://t.co/PtPXIPk0So https://t.co/VMI2HuqJt0,positive,positive
Ikatan Tausiah Muqimin Indonesia (ITMI) di Madinah Deklarasi Dukungan untuk AMIN #AniesMuhaimin https://t.co/fia0XIXApP,positive,positive
PakbowoIkut MaunyaKita ingin ketentuan yg makin tegas dalam kepastian aturan utk menunjang keberlanjutan kemandirian. #PrabowoPalingTulus MasbowoGibran GakRetorika https://t.co/s3rTTsHVrv,positive,positive
 GUS KAUTSAR DARI PONPES PLOSO / JOMBANG - MOJO MEMBERIKAN STATMENNYA TUK DUKUNG NO 1 AMIN ( ANIS - MUHAIMIN ) https://t.co/JKoTjXsWjP,positive,positive
Itu asam sulfat pake nge-cheering segala apa ga takut ntar dibantai prof mahfud-cak imin? Ngeliat debat malam ini harusnya dia gemetaran sih..,negative,negative
Dipoles kek gimanapun Prabowo ya Prabowo,negative,negative
@KompasTV Gibran contoh kecil orang dalam yang tidak bermutu dan berkwalitas serta Prabowo yang orang dalam juga sudah pikun yang bicara nya asal asalan masak seorang cawapres dan capres jumlah anak balita Indonesia 400 juta jiwa ini anak dari mana? Prabowo debat seperti warung tuak. https://t.co/QbaGeH4rt0,negative,negative
PRABOWO BUKAN JOKOWI PRABOWO 3X NYAPRES BUKTI HAUS KEKUASAAN GA PUNYA APA APA MUNAFIK PUNYA RIBUAN HEKTAR SAWIT BERKUASA AGAR PABRIKNYA YG MACET 20 TH BISA JALAN BERKUASA U DPT KREDIT U ATAU U MONOPOLI &amp; KORUP? NDASMU ETIK HATI HATI AWAK MEDIA KAMI CATAT BUKTI OTORITER https://t.co/xo1sBWdfP1,negative,negative
@abu_waras Rugi banget negeri ini memilih pemimpin otoriter kayak Prabowo pendukungnya pun sebenarnya tau liat aja muka zulhas airlangga dibelakang prabowo terlihat kecewa.. wkwkwk,positive,positive
@azissubekti @prabowo Putri saya pendukung Ganjar... padahal baru 11 tahun... alasannya lucu katanya Zis Azis.. baru doakan sekarang ya? Kemarin ketika Harun Al Rasyid jadi korban pada diem bae...!!!,positive,positive
Janji palsu Anis semakin membuat rakyat kecewa. #KingOfRetorika PemantikKonflik Demokrasi,neutral,negative
Tepat! Itulah sebabnya sekarang kami dukung Prabowo dan dulu kamu dukung beliau. Prabowo yg kamu dukung dulu berbeda dgn Prabowo yg sekarang. Sekarang beliau lebih banyak menyerukan persatuan dan memeluk baik kawan maupun lawan.,positive,positive
@peter_hari @Gede_86 @budimandjatmiko @prabowo Dia dibayar utk menghapus sejarah hitam 98. Gondes tenan!,negative,negative
Atraksi memukau Alexander @RapperYounglex yang menggelegar di GBK saat Kampanye Ganjar-Mahfud bersama Slankers di GBK Sabtu 3 Oktober 2024. https://t.co/nqddifFEWL,positive,positive
Prabowo itu penjahat perang yg kemudian diberi sangsi Amerika sehingga Indonesia ga bisa beli alutsista. Dia aja gak dikasih visa. Demi bisa rehabilitasi dia menjilat ke Israel dan digunakan Israel jadi perangkat. Segini aja kok susah banget mencerna.,negative,negative
@Reiza_Patters Padahal Anies cuma ngutip pernyataan Prabowo sendiri. Pendukungnya nyalahin Anies. Gimanasi?,negative,negative
Teman-teman nonton debat capres tadi malam? Alhamdulillah...Tadi malam kami sudah melalui babak 1 debat capres dengan baik. Semoga tujuan AMIN ke depan dapat tersampaikan kepada masyarakat bahwa pimpinan tertinggi suatu negara harus menjunjung tinggi etika. #AMINAjaDulu https://t.co/uFkUKfTwLd,positive,positive
Kampanye Relawan Sobat Anies DPW Riau dan partai pengusung di Kepulauan Riau Tanjung Pinang. #SobatAnies #AMINAjaDulu https://t.co/54IgzuSNxp,positive,positive
Di Kampanye Anies-Cak Imin @PKSejahtera Singgung Kesulitan Rakyat di 10 Tahun Terakhir Pemerintahan Jokowi https://t.co/H59WYQv16t,positive,positive
Woowww ini Banyuwangi gaes. Membludaaak... Konser Rakyat 3 Menang #GanjarMahfud2024 https://t.co/yClZLdJqXk,positive,positive
diperlakukan dgn tidak adil dihinakan dipermalukan dan saat itu akan dirampas kebebasannya. Keadilan tidak beliau dapatkan. Bayangkan seandainya kita menjadi beliau bisa2 kita marah &amp; melawan. Dan andai saja beliau melawan (krn kebenaran dan keadilan) dan berseru:,positive,positive
Pengen ngakak bro! Kok bisa ya si Belimbing Sayur se pede ini? Justru dengan adanya Gibran maka debat cawapres hanya menunjukkan pertarungan Mahfud MD dengan Cak Imin gak sih? @elsaday__ @Naandaa27 @n3wbie__ @B3doel___ @NgkongRoses @mikuroQ https://t.co/UelJqnqc8y https://t.co/OSOnLO9FuG,neutral,neutral
@Heraloebss @gibran_tweet @prabowo @golkar_id @Gerindra @datuakrajoangek @psi_id Mimpi buruk ya Miss?,negative,negative
Semua orang dibikin mleyot sama taehyun https://t.co/g7iGGJdipd,neutral,neutral
Tinnitus + dancebreak-nya punya taehyun,positive,positive
Maksudnya: 1. Gibran sbg wapres GAK akan punya kuasa buat ngatur apa yg akan DIKERJAKAN Presiden 2. Begitu jg Jokowi sbg MANTAN GAK bakalan bisa ngatur Presiden. Pandangan yg sudah lama disampaikan oleh BANYAK pihak. Krn #CapresnyaTetepPenculik!!! https://t.co/Dm3MFCxLsk,positive,positive
Akhirnya aku memutuskan pilih AMIN dengan 10 alasan berikut ini: https://t.co/basRmNMC4Z,positive,positive
buset cak imin bela2in dri slepet imin di malang lgsg ke desak anies sby,negative,negative
Yusril tegaskan gibran tetap sah dan konstitusional sebagai cawapres pak Prabowo https://t.co/PEwW9ro8Xi,positive,positive
Perempuan Tionghoa untuk Indonesia Dukung Prabowo-Gibran Majukan RI https://t.co/AGgJUfy4GG,positive,positive
KAI Minta Prabowo-Gibran Hadirkan Badan Penerimaan Negara RI #KAI #PrabowoGibran #BPN #BadanPenerimaanNegara #RMOL https://t.co/tFt3NrPZm9,positive,positive
@ganjarpranowo Pak Ganjar pinter juga ya main jaranan semua seneng banget bisa ketemu sama bapak,positive,positive
Sumatera sampai ke jambi SERUKAN PERUBAHAN INDONESIA ADIL DAN MAKMUR UNTUK SEMUA @aniesbaswedan @cakimiNOW pulau Jawa mana suaranya!!! https://t.co/LgUsaaEP7u,positive,positive
TENGIL BGT siapa yg ngajarin https://t.co/bD3TDxr0K1,positive,positive
Vicky dan Rocky gerung yg paham apa yg dimaksud Anis https://t.co/QJEPAxYcYY,neutral,neutral
Gibran jadi walikota karena anak presiden Gibran bisa nyawapres karena anak presiden. Kalo bukan anak presiden dengan kapasitas yg dia miliki kira2 jadi apa️,negative,negative
Yg bener aja Prabowo mau disama-samain dgn Pak Jokowi yg hangat &amp; akrab ini uluran tangan2 dr pendukung2nya sendiri dicuekin oleh Prabowo https://t.co/ySeDXFOcXq,positive,positive
 Mas Anies..Klo demokrasi tak baik anda ga mungkin jd gubernur jkt Pak Prabowo tak tahan jadi oposisi. Kekuasaan bukan sekedar ekonomi tapi banyak hal. Bagaimana soal putusan MK dan MKMK pak Prabowo Prabowo dikeroyok Anies dan Ganjar semalam ,positive,positive
Baru ngeh cak imin juga ada wkwkek Namanya ngeselin lagi,negative,negative
ANJIIIIIIIIRRRR PIDATONYA ANIES :'),positive,positive
Tambah satu lagi Pelanggaran @Fahrihamzah @habiburokhman @gibran_tweet uda kebiasaan menghalalkan pelanggaran sih,positive,positive
BEM SI Ungkap Kejanggalan Aksi Mahasiswa Dukung Gibran di Balai Kota Solo https://t.co/8t9efBOrxp #TempoNasional,positive,positive
Gak perlu ribet-ribet bawa banyak kartu cukup satu KTP SAKTI semua kartu sudah ada di dalamanya. Tak perlu ganti KTP sekarang yg penting pilih Ganjar-Mahfud No 03 KTPmu akan jadi KTP SAKTI #KTPSakti #GanjarMahfud https://t.co/7L3ozn5Qpg,positive,positive
