full_text, Ai_senti
teman media ya bilang tulis berita lokal sih tentu capres pilih anisamin mosi percaya cak imin sih cerita gus dur, netral
tementemen kos enggak mau pilih anis ya bingung, negatif
asyik ya lagu nya nemen ndx gapaham, laen
vidio cocok dishare grup umumkrn sebut nama orang layak dipilihtapi arah nama ttt kakak anisbisa disimpulksn, negatif
anis pimpin hasil retorika kosong bawa maju kingofretorika pemantikkonflik demokrasi, netral
kakak titon dibriefing kah, netral
anis retorika palsu rusak kingofretorika pemantikkonflik demokrasi, negatif
generasi muda bijak pilih pimpin jebak omong kosong anis kingofretorika pemantikkonflik demokrasi, negatif
biar retorika palsu anis hancur impi generasi muda kingofretorika pemantikkonflik demokrasi, negatif
janji manis anis omong kosong belaka kingofretorika pemantikkonflik demokrasi, negatif
ketidakjujuran anis buka orang kingofretorika pemantikkonflik demokrasi, negatif
anis pimpin rakyat waspada kingofretorika pemantikkonflik demokrasi, positif
retorika anis cipta kacau ketidakpercayaan kingofretorika pemantikkonflik demokrasi, negatif
janji manis anis bual belaka kingofretorika pemantikkonflik demokrasi, negatif
politik ajang bisnis anis rakyat butuh pimpin benarbenar juang kingofretorika pemantikkonflik demokrasi, negatif
anis oposisi, negatif
capres 2024 mah anis ganjar deh, negatif
retorika anis baswedan parah polarisasi masyarakat kingofretorika pemantikkonflik demokrasi, negatif
anis pimpin pandai salah orang tanggung kingofretorika pemantikkonflik demokrasi, negatif
hoi buibu kumpul rumah omong anis prabowo ngehasut pilih anies wkwkw, negatif
01 anis 02 prabowo 03 ganjar grup, netral
lagu malam anis nyanyi lagu bongkar iwanfals, netral
janjijanji anis baswedan dengar dongeng kunjung bahagia kingofretorika pemantikkonflik demokrasi, positif
ganjar selesai anis menang prabowo mimpin negoro nek ra konco kentel ra kandani, negatif
kagum anis matta baca buku2nya eh kapal penghianat, negatif
sebut your favorit tlist punchliner woopy kumis, laen
buzzer anis marah akun meme, negatif
baju prabowo prabowo pilih nya anis goblok prabowo nya grup sukses, negatif
tmi 2 simple bikin senang puji wangi puji wallpaper hpnya lucu coworker beda unit, laen
kritik anis baswedan nyaring anggap konsisten prinsipprinsip dasar demokrasi kingofretorika pemantikkonflik demokrasi, negatif
amin aniesmuhaimin pimpin indonesia 20242029 baswedan, positif
menangseputaran anis baswedan calon presiden milik daya tarik kuat bangun kolaborasi lintas sektor capai maju potensi anggap remeh, negatif
janjijanji anis bahan bual bukti capai nyata kingofretorika pemantikkonflik demokrasi, negatif
bocor panitia nyiapin jawab sapa tau hasil akirnya anis, negatif
main urgent order kuih muih erk, laen
emngnyaah anis nyuruh kahh teriak2 kayak, negatif
warga jateng lahir sekolah jakarta era bangun jakarta bawah anis sektor transportasi publik, positif
statemen p anis luarr kesan darah negarawan pancar rezim geram tolong lindung pan tingkat ring 2 ring 3 tau sifat sih plonga plongo diam killer, negatif
ganjar kakek tua ya maklum buat ngadilin kena smecdont ganjar brondongan jep anis babak bur kasihan deh ujur, negatif
anis baswedan pimpin kes abai nilainilai dasar demokrasi kingofretorika pemantikkonflik demokrasi, negatif
janji palsu anis rakyat kecewa kingofretorika pemantikkonflik demokrasi, negatif
anis kritik orang baik diri kingofretorika pemantikkonflik demokrasi, negatif
pimpin anis buruk bangsa kingofretorika pemantikkonflik demokrasi, negatif
retorika kosong buat pimpin anis kingofretorika pemantikkonflik demokrasi, negatif
retorika anis hibur tindak nyata kingofretorika pemantikkonflik demokrasi, negatif
anis baswedan pimpin jauh prinsipprinsip dasar demokrasi kingofretorika pemantikkonflik demokrasi, negatif
anis pimpin retorika hasil konkret minim kingofretorika pemantikkonflik demokrasi, netral
demokrasi anis baswedan kikis langkahlangkah otoriter anggap lupa esensi partisipasi masyarakat kingofretorika pemantikkonflik demokrasi, negatif
indonesia butuh pimpin komitmen pimpin pandai bicara anis kingofretorika pemantikkonflik demokrasi, negatif
anis baswedan kes lupa demokrasi depan partisipasi buka kingofretorika pemantikkonflik demokrasi, netral
indonesia butuh pimpin jujur tanggung pimpin pandai bicara anis kingofretorika pemantikkonflik demokrasi, negatif
katakata tindak gambar klasik pimpin anis kingofretorika pemantikkonflik demokrasi, netral
janjijanji anis kuat bosan ubah nyata kingofretorika pemantikkonflik demokrasi, negatif
omong kosong anis timbul ragu mampu pimpin kingofretorika pemantikkonflik demokrasi, negatif
rakyat bijak pilih anis pimpin andal kingofretorika pemantikkonflik demokrasi, negatif
katakata anis angin sepoi hadir benarbenar rasa kingofretorika pemantikkonflik demokrasi, negatif
kecewa rakyat janji manis anis kingofretorika pemantikkonflik demokrasi, negatif
retorika anis hibur tindak nyata kingofretorika pemantikkonflik demokrasi, negatif
anis pandai bicara ambil tindak nyata rakyat kingofretorika pemantikkonflik demokrasi, negatif
bijak efektif anis suka fokus gaya benarbenar kingofretorika pemantikkonflik demokrasi, positif
anis keren laku ubah nyata kingofretorika pemantikkonflik demokrasi, positif
retorika kerja rendah anis baswedan pandai bicara hasil konkret kingofretorika pemantikkonflik demokrasi, negatif
anis layak pimpin rakyat kritis kingofretorika pemantikkonflik demokrasi, negatif
pimpin anis contoh generasi muda kingofretorika pemantikkonflik demokrasi, positif
anis pimpin janji tindak pegang kendali negara kingofretorika pemantikkonflik demokrasi, negatif
kritik anis baswedan tingkat anggap lupa hakhak nilainilai dasar demokrasi kingofretorika pemantikkonflik demokrasi, negatif
omong anis ilusi hasil dasar prestasi nyata kingofretorika pemantikkonflik demokrasi, positif
kecewa dalam landa rakyat janjijanji tepat anis kingofretorika pemantikkonflik demokrasi, negatif
omong kosong anis bentuk bayang nyata tindak lupa kingofretorika pemantikkonflik demokrasi, negatif
politisasi agama anis baswedan tuju capai penting politik perhati prinsipprinsip demokrasi jaga kingofretorika pemantikkonflik demokrasi, negatif
omong anis bahan tawa hasil dampak positif nyata kingofretorika pemantikkonflik demokrasi, negatif
janjijanji palsu anis tambah kecewa rakyat kingofretorika pemantikkonflik demokrasi, negatif
pimpin kes lupa esensi demokrasi anis baswedan kingofretorika pemantikkonflik demokrasi, netral
omong kosong anis cipta bosan tengahtengah rakyat haus pimpin kualitas kingofretorika pemantikkonflik demokrasi, negatif
munafik anis buka buat jepit situasi sulit kingofretorika pemantikkonflik demokrasi, negatif
kecewa rakyat janji manis anis kunjung penuh kingofretorika pemantikkonflik demokrasi, negatif
anis baswedan sang ahli pecah belah masyarakat retorika tajam kingofretorika pemantikkonflik demokrasi, negatif
harap cemerlang pudar janjijanji palsu anis kingofretorika pemantikkonflik demokrasi, negatif
kritik anis baswedan nyaring anggap junjung nilainilai demokrasi kingofretorika pemantikkonflik demokrasi, negatif
bayang lae enggak ada podium anis prabowo anies prabowo langsung emosi, negatif
paan sih bodoh salah anis aduh mampu komprehensi mu lo kakak ahok menang 2017 anis menang 1 putar nandingin menang perancis nandingin argen pildun 2022 menang, negatif
nilainilai dasar demokrasi lupa kebijakankebijakan kontroversial anis baswedan kingofretorika pemantikkonflik demokrasi, negatif
debat capres 1 opini netral capres 01 bagus mulut anis kalo kerjax amuradul murudul capres 02 bagus publik bicara skillx poles saran kurang teriak capres 3 visi misi struktur, negatif
rakyat jebak janjijanji kosong anis tindak nyata kingofretorika pemantikkonflik demokrasi, negatif
anis retorika palsu bawa jurang hancur kingofretorika pemantikkonflik demokrasi, negatif
janji manis anis tinggal khayal kecewa rakyat bendung kingofretorika pemantikkonflik demokrasi, negatif
anis main katakata rakyat butuh pimpin tindak nyata penting kingofretorika pemantikkonflik demokrasi, negatif
retorika kosong rakyat pilih anis tunjuk bukti nyata kingofretorika pemantikkonflik demokrasi, negatif
anis pimpin pandai janji bukti nyata kingofretorika pemantikkonflik demokrasi, negatif
anis suka bicara hasil hasil konkret signifikan kingofretorika pemantikkonflik demokrasi, positif
retorika senjata utama anis baswedan cipta suasana politik tarik perhati kingofretorika pemantikkonflik demokrasi, positif
retorika berapiapi anis baswedan cocok panggung kantor kingofretorika pemantikkonflik demokrasi, netral
cari salah orang anis perosok munafik kingofretorika pemantikkonflik demokrasi, negatif
omong anis dengar hambar kurang bukti capai kingofretorika pemantikkonflik demokrasi, negatif
anis pimpin pandai komentar ubah kingofretorika pemantikkonflik demokrasi, positif
anis baswedan terusmenerus main kartu agama retorika agama anis baswedan cenderung keruh suasana politik picu khawatir ganggu proses demokrasi sifat inklusif kingofretorika pemantikkonflik demokrasi, negatif
janji manis anis bual belaka rakyat kecewa kingofretorika pemantikkonflik demokrasi, negatif
kritik anis baswedan tingkat anggap utama nilainilai demokrasi kingofretorika pemantikkonflik demokrasi, negatif
pimpin percaya anis cipta ketidakharmonisan kingofretorika pemantikkonflik demokrasi, negatif
wkwkwkwkwk banget ganjar jaga2 mulut anis, negatif
debat benci anis, negatif
malam nyempatin makan malam yeye, laen
jujur seru debat anis lawan ahok zaman at calon pimpin negara emosi, negatif
wkwkwk lingkung kerja tahi anjing, negatif
senyum shani akhir2 aneh kayak paksa kah, negatif
anis suka marah sono hobi marah aminajadulu aminpalingserius, negatif
ras sih orang etnis iri wkwkwkwkk, negatif
enggak ada tuku, laen
debat capres damping cawapresnya malam capres maju untung wowo coba maju dua anis ambil rapor anak repot kakak aniiiis kakak aniiiis uhmnn, negatif
kerja dobel jink bilang santai2 enggak ada kerja enak congor habis libur kerja 3 ya setan sudah deh mulut busuk kurang iri, negatif
dasar nyata pamungkas debat capres simpul 1 anis gagas adil ngeluh demokrasi 2 prabowo inti lanjut kerja jokowi 3 ganjar cerita sedih, negatif
kalah anis ahok kalah ahok adalh, negatif
anis percaya kuasa materi pilih amin ubah indonesia aminajadulu aminpalingserius, positif
anis lugas pilih amin ubah indonesia aminajadulu aminpalingserius, positif
anis sosok wibawa pilih amin ubah indonesia aminajadulu aminpalingserius, positif
anis baswedan indonesia aminajadulu aminpalingserius, positif
anis milik visi misi indonesia pilih amin ubah indonesia aminajadulu aminpalingserius, positif
anis ideidenya tarik inspiratif pilih amin ubah indonesia aminajadulu aminpalingserius, positif
ganjar mumet serang prabowo takut semprit serang anis apa serang anggep semalem ganjar bumbu man orang jiplak jokowi ganjar kagak laku bro, negatif
bohongin aku anis baik grup nomor 2 survey eh nomor 1 menang asam sulfat, negatif
kakak anis cukupp, netral
anis keren sih emotional controlnya, positif
nama anis suka grab, positif
sarap ayo sarap sahabat2q kasih biar kuat hadap nyata orang munafik toxic dekat jauh sehat dukung prabowo serang anis biar coba, negatif
prabowo ganjar anis gapeduli barca mu menang kalah anjing, negatif
sibuk unggah anis pragemo suka scene cuy pilih amin debatcapres, negatif
debat pilpres malam tanding bola anis penuh pressing menit tinggal demo 2019 kemarin angkat ternyatamau prabowo mesti main defensif serang langsung kena counter serang diri bawa, negatif
anis pintar ya omong tata banget, positif
prabowo ganjar natar ulang anis baswedan ham ikn orang disosmed terima bicara ruang celah baik anis balik koar koar, negatif
anies pintar banget rangkai nya bagus pilih anis sales manager, negatif
pakai prabowo jelek emosional temperamental referensi rendah narasi alamiah buruk karakter keras hilang ganjar anis kalem dewasa wowo usia uzur contennya rkyt dukung anis, negatif
anis indak sih, netral
pilih ganjar anis prabowo kalah mu menang masalalunya, negatif
3 kandidat presiden anis ngontrol emosi, positif
hidup anis, positif
anjir bro salah tulis 1200 ketidaksukaan ku anis, negatif
baca konteks anies video prabowo kuat oposisi lo komen ya konfirmasi anis kuat oposisi paham, netral
coba tementemen jelasin anis masak debat capres tonton debat, negatif
ngacok brow debat ya debat kalah ya ngemis2 olah terzolimi lihat suportir no 3 masinton applaus mampu debat anis prediksi bumbu ngemis iba bukti, positif
presiden lawak anis fokus sandang disabilitas hamil anak anak lansia boroboro lansia pakai aplikasi jaki pakai whatsapp bingung lawak nih capres 1 anak anak bisa ya main youtube habis pkr, negatif
riah suasana majlis khatam alquran mohd uwaisanis sofea kelas aji ustazah zuhriah mohd juoi syukur alhamdulilah, positif
pilih anis baswedan amin, positif
iniiii kabogoh abdi nu geulisssini cantik semesta puspitakuuuuu, laen
kuat kuat dukung anis tngah tngah keluarga pro ganjar buzzer, positif
timeline habis debat capres semalem isi kubu anis prabowo doang omong ganjar ya orang tau fafifu doang xixixi 1 2 3, negatif
kakak anis angin ktp ya wkwkwkw, positif
konon lho alumni kampus cap gajah duduk ikut dukung anak ingus sih nolak din ketua wali amanah aduh bener leceh, negatif
ngesw anis, netral
lihat dek2an takut gemoy langsung strok mental gemoy hancur lebur usir ganjar anis prihatin calon pimpin kuasa waspada gemoy duduk kursi ri 1 hancouur negeri, negatif
debat capres anismantan gubernur prabowomenhakam aktif ganjar gubernur jatengaktif konstitusi berubahsesuai kepentingantahu tahukita anak anak, negatif
pilih anis prabowo ganjar pilih kalah manchester, negatif
air coway lepas nok, laen
biar anis masak, netral
anis, netral
prabowo kalem banget banding 510 nada anis publik bicara oke banget ganjar sih suka capres pdip siii, positif
saol debatkalau kontestan jokowi ganjar amp anis jkw kalah telak ber 2 jago2 teori amp retorika susun orang terhipnotisdulu ahox kalh anis puas msrkt atskinerja ahox 75, negatif
aku urus debat anis jago, positif
pilih prabowo ganjar anis serah lolos manchester united, negatif
anis lama karung topik bicara malueehh kacang ninggal lanjar anak nurun bapak malu, negatif
beuhhh anis bikin goyang pilih paslon gemoy debatcapres, negatif
joooooooseluuuuuu, laen
kasihan prabowo belepotan gara-gara anak haram detik 027 ganjar senyum2 amp anis senyum main mata anak haram malu ya topik politik dunia anak sih agak2 belimbing sayur, negatif
misi anis salah satu lurus hukum bengkok tajam bawah tumpul, negatif
anis creambath rambut wangi banget dusel kepala, positif
counternya anis ya ahoy, positif
anis combud sapa ya bikin materi roasting pinggir jurang, negatif
anis mending lu drag down sih putih dblkngnya, negatif
maaf kalo kesan gasuka anis iya, negatif
coba review debat pov honest review anis ok way argue prabowo joget gemoynya kinda over issue sensitif hehe ganjar ok dosa wadas sentuh hihi, negatif
benar beda banget cuy twitter tiktok twitter banyak anis tiktok banyak prabowo,  negatif
mending sklian bngkarin busuk pil kemarin rival lu pmerah sedih banget lu rendah anjir jwbin kalo kuat ya sindirin pmerah dseblah lu partai ungu libas simerah drag down nin shrusnya lu emosi merah anis, negatif
salah capres peduli cilik anis prihatin kdrt menangseputaran, negatif
dewasa mobrak mabrik garagara cinta, positif
objektif debat menang anis prabowo tekan serang anis emosi ganjar spesial main aman, negatif
tiktok ku isine dadi anis tok ngene ya tanda e opo iku teman, laen
debat bicara sih anis mah jago anjoyyy, positif
debat capres prabowo anis nagih janji bongkar buku ganjar samping sengir kayak kayak tengahtengah drama korea kali ah bersamagama ganjarpranowojos ganjarpranowo mahfudmd ganjarmahfud2024 politikbermartabat debatcapres, negatif
pilih nya ganjar prabowo anis kalah emyu, negatif
moga sembuh zaman anis amin hehe, positif
wakanda no more anis amin km50 aminterbaikno1 amin2024, positif
reminder from this prabowo anis putar biarpun anis utopia prabowo luculucunya ganjar still got chance 00000001, negatif
alas kakak anis pilih gus imin kakak bowo pilih kakak gibran kakak ganjar pilih prof mahfud pintar pintar mas2 partai bayang kalo kakak anis ahy kakak bowo et kakak ganjar sandi anu, negatif
ganjar main aman anis kayak kosa prabowo jlab jleb, negatif
jujur debat capres isi ngetawain prabski bjir kocak banget tingkah a good way ya anis gila publik speakingnya puhh, positif
bilang anis demokrasi jalan gubernur usung pikir demokrasi jalan kasus, negatif
anis omong kayak siar radio omong atas intro lagu henti nyanyi masuk timingnya cakep wakaka wle, positif
bincang debat anis ganjar, positif
anis menang debat mustahil tau anis istimewa sih kalo publik speakingnya bagus presiden manufer politik dsb presiden indonesia cerdik politik ya jokowi, positif
tuju janjijanji anis logis banding ya mending anis lu harepin kakek arogan nyebrang kubu licik usak demokrasi lu harepin paslon satu kapok banteng kuasa, negatif
anis deh putus cari dukungam fpi pilkada jujur was fair abt, negatif
arah anis, netral
pilih kumpul bapa2 masang banner anis, negatif
ok oce program kakak sandi kakak sandi maju cawapres anis ganti ok oce jakpreuner isu kampanye jakprenuer jalan camat bantu umkm dki sila cek kakak umkm okoce 2018, positif
tarik rilis litbang kompas taruh amin gama performa moncer anis debat, positif
pilih ganjar anis mending pikir deh ya indonesia emas dukung prabowo, negatif
lihat debat capres dominan anis santay santun pakai peci coba pakai topi bajak laut ya tenggelam, negatif
kakak anis kakak anis prabowosubianto aniesbaswedan pilpres2024 debat ke1, positif
anis paaaak tolong paslon nomer 2 ulti kasihan sepuh biar jogetjoget sibuk gimmick gemoy debatcapres, negatif
serang prabowo berapiapi tanggap anis elegan gue suka statemen anis tajam tajam silet aminajadulu, positif
kakak anis prabowo tahan oposisi, negatif
anis bagus indah mulut boneka kakek prabowo kerja nyata pandai retorika indah orang ganjar bisa pimpin bijaksana ramah saat realita kerja beliau milu hati rakyat, positif
anis manis prabowo lupa ganjar cecar, negatif
anis masak ganjar hidang prabowo penuh makan, negatif
nama anis dukung prabowo aneh, negatif
speech anis oke ya kerja, positif
sih salah angin angin salah anis, negatif
prab deh bagus tri tahan anis bikin negara maju sygnya sulit menang satu mending enggak usah nyapres ngabisin uang inti golput buta politik teman negara
oke anis motm debat, positif
ya canggih tekhnologi masa anis pimpin keluh masyarakat kait aplikasi bangga2 memastikanrasanyaman visipakbowo keadilanygpasti
yess anis kalo kenal ordal etika nya kikis previlage
seru anjay debat capresnya, positif
gerak alis anis anjayyy, netral
was wes wos anis lihai omong prabowo simple ganjar cerita wes cocok, negatif
3 poin tarik debat capres 1 ampas aset main aman kabeh 2 kanjuruhan pertanyaane anis nganggep rung rampung jawabane ganjar nganggep wes rampung prabowo gaentuk sempat 3 wadas tetottt
anis kaya orang tiga bangsat wkwk tiada, negatif
saksi lurah jakarta zaman anis gubernur pimpin bikin gelisah
fakta capres anis baswedan kuasa panggung debat kuasa kuasa solusi aminajadulu
asal dukung prabowo mohon maaf geser anis, negatif
al hamdulilah, netral
bajer anis, negatif
anis nyenggol nama mega debat mega eh mega suryani dewi korban kdrt bersamagama gpjos ganjarpranowojos ganjarpranowo mahfudmd ganjarmahfud2024 salamtigajari pastiganjar politikbermartabat debatcapres
debat capres kayak prabowo demdam anis deh wkwk, netral
capres anis keren banget sih publik bicara nya tata rapi runtut enak didenger baca script pintar jam terbang deh timses
anis jago omong lawan ngang ngong lihat debat anis vs ahok
inisih pukul telak anis debatcapres, negatif
bentar kakak dengar anis ngedongeng, negatif
prabowo kalang kabut debat anis prediksi putar ganjar kalah pdip balik gabung koalisi indonesia maju balas budi gibran mantan anggota partai tanding sengit paslon 01amp02
anis bahaya banget kayak klean mudah buai kata2nye, negatif
anis hobi sindir diskredit paslon ya aneh oh diskredit perintah, negatif
tutor omong ben kayak anis pripun ngge, negatif
counternya anis ahok coy, netral
masakan anis enak bjir masakan belinda, laen
debat menang prabowo realistis masuk akal mantap anis retorika solusi wkwkwk ganjar cerita alam kkkwkkkwkwk
nama doang ente anis matta mata ente pakai maksimal, laen
anis ganjar kayak obrol sepakat ngantemi prabowo malam wkwkwkkwkw
anis sindir keras tahan oposisi oposisi bisnis tembak tusuk merespon kritik konsistensi prabowo bersamagama ganjarpranowojos ganjarpranowo mahfudmd ganjarmahfud2024 salamtigajari debatcapres
prabowo tanggap anis bangun rumah ibadah sulit memastikanrasanyaman visipakbowo keadilanygpasti
anis bicara juara sih, positif
mengkel debatbisa anis, positif
anis frontal kali anjir wkwkke, negatif
njiirrr 01 gila luar ekspektasi sih anis, 
debat anis seng lawan beliau kuasa
kasihan banget anis serang prabowo, negatif
kakak anis maaf ya kakak anis rakyat pilih joget gemoy, negatif
lho anis ya usung anis gubernur dki jakarta
anis bicara nya enggak ada lawan wani adu jeng ronaldo ge
selesai tinggal pindah loh cerdas anis
jujur grup anis enggak tau golput
anis ngeulti lawan coldown spellnya salah, negatif
kakak anis ibukota awokwowkwok, netral
kakak anis kakak anisganjar klir ikn muter berani bicara proses pkb amp nasdem ngotot uu ikn hahahahha, positif
anis kelas sepak bola kenal counter serang cerdas kena aminku01 aminajadulu, positif
anis khawatir counter serang ya, negatif
debat mending anis ganjar asyik prabowo kocok nomor undi debatcapres, negatif
buah nanas buah manggis kakak anis kakak anis, negatif
nij anis air banjir pompa laut masuk tanah, negatif
ngeri buka anis peabowo jagur wkwk, negatif
lancar banh anis omong, negatif
anis visi misi langsung nyenggol 02 debatcapres, negatif
wanjayy prabowo serang anis, negatif
anis anjing wkwkwkwk, negatif
imo anis bicara sistematis bawa santai tenang prabowo gaya bicara bakar semangat khas juang center of attention ganjar nope just big nope, positif
tahi i imagine anis prabowo 1 grup i mean its sempurna combo orang pintar ketemu orang lapang, positif
akak sok hard kakak anis kakak anis, negatif
ultimu vulgar kakak anis kakak anis, negatif
anis vs prabowo nih hahaha, netral
takut nyenggol nyenggol wkwk anis, negatif
ya anis pandai gagas pungkiri tata bahasa, negatif
kakak anis kakak anis wkwkwkwk, netral
makan nasi pakai tumis tumis kangkung udang dukung pakai anis doa rizqinya gunung aminajadulu aminnomorsatu, positif
wowo marah anis anis marah mata rakyat indonesia, negatif
debat anis prabs doamg, netral
anis sindir prabowo prabowo balas sindir anis ganjar ngambil sempat netral rame debat sindir wkwk debatcapres, negatif
emosi kendali musuh anis anies gubernur, negatif
prabowo panas cuuuuuy ati ati anis hilang wkwkwk, negatif
dih sebal, negatif
info libur negara tetangga maret wkwkwkwk, laen
anis tudei ready includeroom promo rate simpan 2 jam ya slot kosong sore amp malam dp anis ain exclude cash droom pesan anis ya sayang availpalembang bisyarpalembang includepalembang, laen
rangkum debat capres debatcapres anis baswedan sorot kondisi hukum indonesia sorot hukum usung jargon ubah,netral 
movie deh toxic concert patut kena skip, laen
woeeee anis gila ya takut, negatif
hellooo wargaaa, netral
gila anis luar prediksi, negatif
wkwkwk anis langsung konfron terang2an, negatif
anak deh budak anis nih deh orang deh budak dua nih risau, laen
usir mati debat calon presiden anis vs prabowo vs ganjar menang, netral
anis tumben omong getar, negatif
serang anis, negatif
unjuk visi misi wak anis cemar bowo debatcapres, negatif
anis langsung ngegas serang, negatif
saksi lurah jakarta zaman anis gubernur aminajadulu, positif
getar tangan mu anis, negatif
anis omong adem bawaanya debatcapres, positif
anis visi misi langsung nyenggol 02 debatcapres, negatif
nih 5 contoh korang korang anak cari kerja kosong cari telegram nih iklan kerja kosong tau, laen
pagiii senin selasa conan etika polisi zara anis baswedan bem ugm zonajajan viralvideo, positif
bjir kemarin dikagetin tubatu, laen
bismillah kerja, netral
jam 2 pagi anis habis shift petang kerja nurse deh bagi pulang malam biasa anis pulang grab malam 23 kali anis cuba grab asek gagal anis cuba sambung, laen
muda2han anis presidenamin, positif
komika penjara garaagara anis aduh ya, negatif
komika penjara garaagara anis aduh ya, laen
aduh anis bela komika hina nabi parah sih layak panutan, positif
abos kuota matlis anis baterai banget, laen
teman shiloh ada hadiah  kepo ignya deeeeh, laen
aku lu uyong, laen
hasil survey olah dasar teliti hasil anis layak pimpin
warga nu percaya anis, positif
anis dreamies freetime 2 asekkk jalan tunggu foto2nyaa, laen
gara-gara anis coba telat dtgnya
kredit cepat promo 0 gratis 1x angsur komoditi kota bogor botani square cicil kartu kredit syarat ektp info lengkap whatsapp anis 083895143326 produkterlarishomecredit agentsobatbelanja homecreditbogor, laen
anak camera kodak film haha, laen
promo 1212 seru ah, laen
lately nih mimpi dahsyat mind blowing, laen
kakak bachiranya, laen
pantengin, laen
kakak mulung ic tidur, laen
salah kreator pilgub dki menang anis dki ya orang paham, negatif
gqnjar nol gqgasan jual ganjar main sosmed anis kasihbangka 16 nama leceh akal waras pakta lapang dukung anis 2 kali lipat dukung jokowi banding prabowo trauma kali 98, negatif
anis cawapresnya bilang bawa bawa jatim nu kayak arang doang deh keluarga ku tetangga kenal, negatif
oh terima kasih ngeri, laen
kirim surat tulis tangan ahy isi bla bla bilang ahy kalo amanh ibu anis maju pilprea ahy nambahin kalo pesan guru spiritualny eh paksa paloh gabung imin lagsg keder, negatif
capres undang hadir anis ganjar 02 urus kerja mundur jabat undang jam 19002100 luar jam kerja, negatif
anis indonesia makmur, positif
fahri bilang anis mata enggak usah gengsi dukung 02 ayam sayur koalisi mending masuk 01 tarik suara enggak usah gengsi pks, negatif
paham sibocil ya rakyat muak banteng cil ganjar bagus klpun stir banteng anis apalagiyg stir sih nasgor rakyat nurut tunjuk jokowi jokowi presiden pilih rakyat sruput kopi mumpung anget, negatif
indonesia maju kalo pimpin anis, positif
sellu dukung anis, positif
anis, netral
fuhhh pusing mat urus anak sorang paham asa sesal lawan malas tolong paksa anak deh patut suruh kisah status abang kakak adik tolong, laen
sorang urus rumah tangga besar anak lps salin sumpah tenaga kuat nih sakit urat sakit pinggang tulang anak anak kena tolong deh jasa, laen
honestly i kesi tengok anak sorang urus rumah anak rumah masuk bilik suruh kerja bermcm alas deh sakit dar rumah deh tunggang langgang tolong sesal, laen
iya sih pintar mah dukung anis doang manusia bodoh salah tuan pintar, negatif
demokrat tinggal dukung dukung prabowo akar rumput demokrat dukung anis, positif
siap bagi kaos amin distribusi desa grobogan matur suwun sanget aziz rawan teman anies grobogan gerak aminajadulu aniesmuhaimin2024, positif
anis n imin paslon pecah belah umatrakyatmana bukti 1 nama ambil baca sholat tasyahud sholat amin 1 gaul tambur 3 anies muhammadiyah muhammadiyah kena, negatif
kampanye anies bubar aparat lombok aminkanindonesia, netral
takut kader rubah haluan dukung anies baswedan moga sadar, netral
peristiwa anies serang wowo elegansungguh keren anies bilang wowo wowo kuat oposisi akak lihat wajah wowo langsung manyun, positif
ungkap 2 alas anies resuffle mendikbud periode rezim jokowi takut popularitas anies anggap 2024aniespresiden, positif
bib deh waras siimin deh tular waras koar2 n sindir2segala pakai anies menang n jatuh lawanjangankan masjid bib pesantrebn n mayat harun pakai n disebut2 malu n menjelek2an prabowo, negatif
pasang anies muhaimin amin berbondong2 buruh sumatera utara satu menang anies amin, positif
sayang rawan amin ajar harga bincang2 uas p anies baswedan, positif
teman lepas kandang teman pasuk kandang ya pro anies sori ya sori ya teman gue sabda rasul gantung agama teman dekat jadi teman abu hurairah, negatif
kader pasha puji anies zulhas tau, positif
anies menang indonesia akur amp makmur maaf ya 3 paslon 2 kalah 1 menang aniespresiden2024, positif
hibur, netral
savage jiahhh prabowo diulti anies debatcapres aminterbaiknomor1 aminungguldebatcapres, positif
be honest harap anies harap bijak tentang ilmu tahu, positif
nama lawan sih langsung hadir cari adil anak bunuh sangka anies berani salut, positif
kakak anies kakak anies pukul telak prabowo anies topik demokrasi, positif
rocky gerung klaim pilpres 2024 tanding anies prabowo, positif
anies pecat menteri jokowi fakta simak anies baswedan menteri didik anies prinsip pegang teguh janji lawan miskin koruptor, positif
jelas visi amp misi anies sebut hukum tajam tumpul, positif
gila jancuk anies berani kali, negatif
anies baswedan bicara tinggal harun al rasyid pilpres 2019 fakta factcheckdebatcapres nobardebatdinarasi suarapenentu, negatif
pidato kakak anies langsung jleb bobot prabowo isi ganjar nampat, positif
prabowo lupa visi misi makan siang gratis susu gratis emosional usir anies baswedan papar penuh emosional berantas korupsi akarakarnya lupa anak angkat menteri kkp koruptor, negatif
taktik anies baswedan gegen pressing tekan lawan memention lemah pasang calon taktik prabowo subianto maintain possession usaha kuasa jalan tanding tuju milik, negatif
tega hukum tekuk anies baswedan debatcapres debatpilpres2024 debatcapres2023, negatif
pidato paslon ganjar ciamik prabowo marahmarah anies lumayan debatcapres debatpilpres2024, negatif
anies ganjar pandai susun emas narasi pidato bagus prabowo tarik prabowo satu2nya visi indonesia sejuk satu harmonis damai tempat figur, netral
anies cari gerus suara prabowo prabowo sampai ngisi acara perintah ganjar jalanjalan, negatif
anies ganjar sampai oke, positif
papar anies sesuai topik jelas enak mudah dipahamiamptentu tedeng aling2 serang aaww prabowo banyak oot ujung orasi motivasi ganjar awal oke lebih dongeng handal tertawa debatcapres, 
